City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
186,shingu,75,JP,1557882000,82,33.72,135.99,66.2,6.93
187,bone,20,ID,1557883800,70,-5.29,119.42,86.0,2.24
188,maceio,40,BR,1557885600,94,-9.67,-35.74,73.4,5.82
189,chake chake,71,TZ,1557885963,76,-5.25,39.77,82.06,17.45
190,smithers,90,CA,1557882000,87,54.78,-127.17,48.2,2.01
191,creel,0,MX,1557885963,42,27.75,-107.63,52.21,2.95
192,flinders,20,AU,1557885846,52,-34.58,150.85,72.0,2.24
193,matara,3,PE,1557885964,90,-13.74,-72.9,33.62,2.55
194,saint-augustin,0,FR,1557885925,54,44.83,-0.61,55.0,5.82
195,nantucket,90,US,1557885960,81,41.28,-70.1,44.6,9.17
196,victoria,75,BN,1557883800,70,5.28,115.24,87.8,4.7
197,west wendover,40,US,1557881760,15,40.74,-114.07,82.4,13.87
198,lowestoft,0,GB,1557885964,93,52.48,1.75,48.99,1.12
199,dabhoi,0,IN,1557883800,78,22.13,73.42,82.4,6.93
200,jalu,95,LY,1557885967,47,29.03,21.55,72.12,18.86
201,cayenne,90,GF,1557883800,88,4.94,-52.33,78.8,3.36
202,sanger,1,US,1557885745,27,36.71,-119.56,84.2,10.29
203,medveda,0,RU,1557883800,60,56.51,92.41,39.2,2.24
204,port-cartier,75,CA,1557885777,60,50.03,-66.88,41.0,6.93
205,totma,41,RU,1557885968,84,59.98,42.76,56.14,5.06
206,geraldton,20,CA,1557882000,76,49.72,-86.95,51.8,4.7
207,adela,0,AR,1557885969,91,-35.68,-57.95,50.18,4.14
208,boende,100,CD,1557885969,98,-0.28,20.88,72.41,3.69
209,yigou,73,CN,1557885969,39,35.81,114.32,82.8,7.74
210,jacareacanga,51,BR,1557885970,96,-6.22,-57.76,73.9,0.85
211,wattegama,45,LK,1557885970,66,7.35,80.68,83.35,6.78
212,mount pleasant,1,US,1557885806,64,33.16,-94.97,77.0,6.26
213,kidodi,79,TZ,1557885971,88,-7.6,37.0,64.04,2.95
214,hirakud,0,IN,1557885972,18,21.53,83.9,98.08,6.22
215,pacific grove,1,US,1557885769,63,36.62,-121.92,64.4,11.41
216,bandarbeyla,100,SO,1557885972,78,9.49,50.81,80.4,10.49
217,ambikapur,0,IN,1557885972,21,23.12,83.2,94.37,8.93
218,karratha,0,AU,1557885973,11,-20.74,116.85,87.12,16.64
219,moron,79,VE,1557885973,91,10.49,-68.2,74.88,0.16
220,nampula,75,MZ,1557882000,94,-15.12,39.26,68.0,8.05
221,nova era,1,BR,1557885973,98,-19.77,-43.04,63.07,1.03
222,tonota,0,BW,1557885974,70,-21.44,27.46,55.63,7.96
223,verkhoyansk,92,RU,1557885974,35,67.55,133.39,48.83,2.46
224,tabuk,88,PH,1557885974,78,17.41,121.44,76.05,3.53
225,muyezerskiy,0,RU,1557885975,61,63.93,31.65,37.13,6.76
226,goderich,0,CA,1557885930,78,43.74,-81.71,50.0,8.86
227,talnakh,11,RU,1557883800,78,69.49,88.39,14.0,20.13
228,kulhudhuffushi,40,MV,1557885975,76,6.62,73.07,85.23,10.38
229,karoi,0,ZW,1557885976,88,-16.82,29.68,53.8,4.88
